nodes,techs,carriers,carrier_in
region1,battery,power,False
region1,ccgt,power,False
region1,csp,power,False
region1,demand_power,power,True
region1,region1_to_region1_1,power,True
region1,region1_to_region1_2,power,True
region1,region1_to_region1_3,power,True
region1,region1_to_region2,power,True
region1_1,battery,power,False
region1_1,ccgt,power,False
region1_1,csp,power,False
region1_1,demand_power,power,False
region1_1,region1_to_region1_1,power,True
region1_1,region1_to_region1_2,power,False
region1_1,region1_to_region1_3,power,False
region1_1,region1_to_region2,power,False
region1_2,battery,power,False
region1_2,ccgt,power,False
region1_2,csp,power,False
region1_2,demand_power,power,False
region1_2,region1_to_region1_1,power,False
region1_2,region1_to_region1_2,power,True
region1_2,region1_to_region1_3,power,False
region1_2,region1_to_region2,power,False
region1_3,battery,power,False
region1_3,ccgt,power,False
region1_3,csp,power,False
region1_3,demand_power,power,False
region1_3,region1_to_region1_1,power,False
region1_3,region1_to_region1_2,power,False
region1_3,region1_to_region1_3,power,True
region1_3,region1_to_region2,power,False
region2,battery,power,True
region2,ccgt,power,False
region2,csp,power,False
region2,demand_power,power,True
region2,region1_to_region1_1,power,False
region2,region1_to_region1_2,power,False
region2,region1_to_region1_3,power,False
region2,region1_to_region2,power,True
