timesteps,nodes,techs,sink_use_equals
2005-01-01 00:00:00,region1,demand_power,25284.48
2005-01-01 00:00:00,region2,demand_power,2254.098
2005-01-01 01:00:00,region1,demand_power,24387.44
2005-01-01 01:00:00,region2,demand_power,2131.148
2005-01-01 02:00:00,region1,demand_power,23730.656
2005-01-01 02:00:00,region2,demand_power,2090.164
2005-01-01 03:00:00,region1,demand_power,23123.04
2005-01-01 03:00:00,region2,demand_power,2131.148
2005-01-01 04:00:00,region1,demand_power,23119.6
2005-01-01 04:00:00,region2,demand_power,2172.132
2005-01-01 05:00:00,region1,demand_power,23683.28
2005-01-01 05:00:00,region2,demand_power,2172.132
2005-01-01 06:00:00,region1,demand_power,24364.72
2005-01-01 06:00:00,region2,demand_power,2213.114
2005-01-01 07:00:00,region1,demand_power,25249.968
2005-01-01 07:00:00,region2,demand_power,2295.082
2005-01-01 08:00:00,region1,demand_power,26090.208
2005-01-01 08:00:00,region2,demand_power,2459.016
2005-01-01 09:00:00,region1,demand_power,26870.464
2005-01-01 09:00:00,region2,demand_power,2459.016
2005-01-01 10:00:00,region1,demand_power,27096.64
2005-01-01 10:00:00,region2,demand_power,2418.032
2005-01-01 11:00:00,region1,demand_power,27001.568
2005-01-01 11:00:00,region2,demand_power,2418.032
2005-01-01 12:00:00,region1,demand_power,27097.136
2005-01-01 12:00:00,region2,demand_power,2377.05
2005-01-01 13:00:00,region1,demand_power,27438.192
2005-01-01 13:00:00,region2,demand_power,2336.066
2005-01-01 14:00:00,region1,demand_power,28622.992
2005-01-01 14:00:00,region2,demand_power,2295.082
2005-01-01 15:00:00,region1,demand_power,30166.272
2005-01-01 15:00:00,region2,demand_power,2459.016
2005-01-01 16:00:00,region1,demand_power,31613.12
2005-01-01 16:00:00,region2,demand_power,2909.836
2005-01-01 17:00:00,region1,demand_power,31965.28
2005-01-01 17:00:00,region2,demand_power,2868.852
2005-01-01 18:00:00,region1,demand_power,31139.792
2005-01-01 18:00:00,region2,demand_power,2786.886
2005-01-01 19:00:00,region1,demand_power,30229.456
2005-01-01 19:00:00,region2,demand_power,2745.902
2005-01-01 20:00:00,region1,demand_power,29165.616
2005-01-01 20:00:00,region2,demand_power,2622.95
2005-01-01 21:00:00,region1,demand_power,27508.704
2005-01-01 21:00:00,region2,demand_power,2459.016
2005-01-01 22:00:00,region1,demand_power,26001.632
2005-01-01 22:00:00,region2,demand_power,2254.098
2005-01-01 23:00:00,region1,demand_power,25050.672
2005-01-01 23:00:00,region2,demand_power,2295.082
2005-01-02 00:00:00,region1,demand_power,24391.136
2005-01-02 00:00:00,region2,demand_power,2254.098
2005-01-02 01:00:00,region1,demand_power,24143.888
2005-01-02 01:00:00,region2,demand_power,2131.148
2005-01-02 02:00:00,region1,demand_power,24237.76
2005-01-02 02:00:00,region2,demand_power,2090.164
2005-01-02 03:00:00,region1,demand_power,24841.728
2005-01-02 03:00:00,region2,demand_power,2131.148
2005-01-02 04:00:00,region1,demand_power,26832.752
2005-01-02 04:00:00,region2,demand_power,2172.132
2005-01-02 05:00:00,region1,demand_power,29293.6
2005-01-02 05:00:00,region2,demand_power,2172.132
2005-01-02 06:00:00,region1,demand_power,31062.336
2005-01-02 06:00:00,region2,demand_power,2213.114
2005-01-02 07:00:00,region1,demand_power,32192.288
2005-01-02 07:00:00,region2,demand_power,2295.082
2005-01-02 08:00:00,region1,demand_power,32969.296
2005-01-02 08:00:00,region2,demand_power,2459.016
2005-01-02 09:00:00,region1,demand_power,33562.496
2005-01-02 09:00:00,region2,demand_power,2459.016
2005-01-02 10:00:00,region1,demand_power,33535.504
2005-01-02 10:00:00,region2,demand_power,2418.032
2005-01-02 11:00:00,region1,demand_power,33355.728
2005-01-02 11:00:00,region2,demand_power,2418.032
2005-01-02 12:00:00,region1,demand_power,33234.144
2005-01-02 12:00:00,region2,demand_power,2377.05
2005-01-02 13:00:00,region1,demand_power,33526.0
2005-01-02 13:00:00,region2,demand_power,2336.066
2005-01-02 14:00:00,region1,demand_power,34474.864
2005-01-02 14:00:00,region2,demand_power,2295.082
2005-01-02 15:00:00,region1,demand_power,35769.216
2005-01-02 15:00:00,region2,demand_power,2459.016
2005-01-02 16:00:00,region1,demand_power,36819.424
2005-01-02 16:00:00,region2,demand_power,2909.836
2005-01-02 17:00:00,region1,demand_power,36838.016
2005-01-02 17:00:00,region2,demand_power,2868.852
2005-01-02 18:00:00,region1,demand_power,35330.4
2005-01-02 18:00:00,region2,demand_power,2786.886
2005-01-02 19:00:00,region1,demand_power,33791.248
2005-01-02 19:00:00,region2,demand_power,2745.902
2005-01-02 20:00:00,region1,demand_power,32205.2
2005-01-02 20:00:00,region2,demand_power,2622.95
2005-01-02 21:00:00,region1,demand_power,30046.832
2005-01-02 21:00:00,region2,demand_power,2459.016
2005-01-02 22:00:00,region1,demand_power,28241.6
2005-01-02 22:00:00,region2,demand_power,2254.098
2005-01-02 23:00:00,region1,demand_power,27086.592
2005-01-02 23:00:00,region2,demand_power,2295.082
2005-01-03 00:00:00,region1,demand_power,26405.408
2005-01-03 00:00:00,region2,demand_power,2254.098
2005-01-03 01:00:00,region1,demand_power,26148.112
2005-01-03 01:00:00,region2,demand_power,2131.148
2005-01-03 02:00:00,region1,demand_power,26243.968
2005-01-03 02:00:00,region2,demand_power,2090.164
2005-01-03 03:00:00,region1,demand_power,26815.568
2005-01-03 03:00:00,region2,demand_power,2131.148
2005-01-03 04:00:00,region1,demand_power,29051.792
2005-01-03 04:00:00,region2,demand_power,2172.132
2005-01-03 05:00:00,region1,demand_power,31915.536
2005-01-03 05:00:00,region2,demand_power,2172.132
2005-01-03 06:00:00,region1,demand_power,33825.792
2005-01-03 06:00:00,region2,demand_power,2213.114
2005-01-03 07:00:00,region1,demand_power,34791.312
2005-01-03 07:00:00,region2,demand_power,2295.082
2005-01-03 08:00:00,region1,demand_power,35248.512
2005-01-03 08:00:00,region2,demand_power,2459.016
2005-01-03 09:00:00,region1,demand_power,35543.136
2005-01-03 09:00:00,region2,demand_power,2459.016
2005-01-03 10:00:00,region1,demand_power,35327.968
2005-01-03 10:00:00,region2,demand_power,2418.032
2005-01-03 11:00:00,region1,demand_power,35020.832
2005-01-03 11:00:00,region2,demand_power,2418.032
2005-01-03 12:00:00,region1,demand_power,34918.768
2005-01-03 12:00:00,region2,demand_power,2377.05
2005-01-03 13:00:00,region1,demand_power,35260.944
2005-01-03 13:00:00,region2,demand_power,2336.066
2005-01-03 14:00:00,region1,demand_power,36226.224
2005-01-03 14:00:00,region2,demand_power,2295.082
2005-01-03 15:00:00,region1,demand_power,37500.768
2005-01-03 15:00:00,region2,demand_power,2459.016
2005-01-03 16:00:00,region1,demand_power,38467.44
2005-01-03 16:00:00,region2,demand_power,2909.836
2005-01-03 17:00:00,region1,demand_power,38202.432
2005-01-03 17:00:00,region2,demand_power,2868.852
2005-01-03 18:00:00,region1,demand_power,36510.0
2005-01-03 18:00:00,region2,demand_power,2786.886
2005-01-03 19:00:00,region1,demand_power,34852.768
2005-01-03 19:00:00,region2,demand_power,2745.902
2005-01-03 20:00:00,region1,demand_power,33083.696
2005-01-03 20:00:00,region2,demand_power,2622.95
2005-01-03 21:00:00,region1,demand_power,30834.896
2005-01-03 21:00:00,region2,demand_power,2459.016
2005-01-03 22:00:00,region1,demand_power,28971.616
2005-01-03 22:00:00,region2,demand_power,2254.098
2005-01-03 23:00:00,region1,demand_power,27761.44
2005-01-03 23:00:00,region2,demand_power,2295.082
2005-01-04 00:00:00,region1,demand_power,27034.912
2005-01-04 00:00:00,region2,demand_power,2254.098
2005-01-04 01:00:00,region1,demand_power,26741.904
2005-01-04 01:00:00,region2,demand_power,2131.148
2005-01-04 02:00:00,region1,demand_power,26864.928
2005-01-04 02:00:00,region2,demand_power,2090.164
2005-01-04 03:00:00,region1,demand_power,27412.8
2005-01-04 03:00:00,region2,demand_power,2131.148
2005-01-04 04:00:00,region1,demand_power,29627.424
2005-01-04 04:00:00,region2,demand_power,2172.132
2005-01-04 05:00:00,region1,demand_power,32533.488
2005-01-04 05:00:00,region2,demand_power,2172.132
2005-01-04 06:00:00,region1,demand_power,34473.6
2005-01-04 06:00:00,region2,demand_power,2213.114
2005-01-04 07:00:00,region1,demand_power,35410.48
2005-01-04 07:00:00,region2,demand_power,2295.082
2005-01-04 08:00:00,region1,demand_power,35833.568
2005-01-04 08:00:00,region2,demand_power,2459.016
2005-01-04 09:00:00,region1,demand_power,36172.144
2005-01-04 09:00:00,region2,demand_power,2459.016
2005-01-04 10:00:00,region1,demand_power,35937.632
2005-01-04 10:00:00,region2,demand_power,2418.032
2005-01-04 11:00:00,region1,demand_power,35691.072
2005-01-04 11:00:00,region2,demand_power,2418.032
2005-01-04 12:00:00,region1,demand_power,35608.112
2005-01-04 12:00:00,region2,demand_power,2377.05
2005-01-04 13:00:00,region1,demand_power,35839.488
2005-01-04 13:00:00,region2,demand_power,2336.066
2005-01-04 14:00:00,region1,demand_power,36705.744
2005-01-04 14:00:00,region2,demand_power,2295.082
2005-01-04 15:00:00,region1,demand_power,37945.824
2005-01-04 15:00:00,region2,demand_power,2459.016
2005-01-04 16:00:00,region1,demand_power,38961.968
2005-01-04 16:00:00,region2,demand_power,2909.836
2005-01-04 17:00:00,region1,demand_power,38735.024
2005-01-04 17:00:00,region2,demand_power,2868.852
2005-01-04 18:00:00,region1,demand_power,37059.04
2005-01-04 18:00:00,region2,demand_power,2786.886
2005-01-04 19:00:00,region1,demand_power,35364.128
2005-01-04 19:00:00,region2,demand_power,2745.902
2005-01-04 20:00:00,region1,demand_power,33644.608
2005-01-04 20:00:00,region2,demand_power,2622.95
2005-01-04 21:00:00,region1,demand_power,31305.44
2005-01-04 21:00:00,region2,demand_power,2459.016
2005-01-04 22:00:00,region1,demand_power,29363.632
2005-01-04 22:00:00,region2,demand_power,2254.098
2005-01-04 23:00:00,region1,demand_power,28084.144
2005-01-04 23:00:00,region2,demand_power,2295.082
2005-01-05 00:00:00,region1,demand_power,27373.728
2005-01-05 00:00:00,region2,demand_power,2254.098
2005-01-05 01:00:00,region1,demand_power,27105.712
2005-01-05 01:00:00,region2,demand_power,2131.148
2005-01-05 02:00:00,region1,demand_power,27225.792
2005-01-05 02:00:00,region2,demand_power,2090.164
2005-01-05 03:00:00,region1,demand_power,27813.312
2005-01-05 03:00:00,region2,demand_power,2131.148
2005-01-05 04:00:00,region1,demand_power,30075.072
2005-01-05 04:00:00,region2,demand_power,2172.132
2005-01-05 05:00:00,region1,demand_power,33053.84
2005-01-05 05:00:00,region2,demand_power,2172.132
2005-01-05 06:00:00,region1,demand_power,35021.76
2005-01-05 06:00:00,region2,demand_power,2213.114
2005-01-05 07:00:00,region1,demand_power,35959.136
2005-01-05 07:00:00,region2,demand_power,2295.082
2005-01-05 08:00:00,region1,demand_power,36339.408
2005-01-05 08:00:00,region2,demand_power,2459.016
2005-01-05 09:00:00,region1,demand_power,36624.992
2005-01-05 09:00:00,region2,demand_power,2459.016
2005-01-05 10:00:00,region1,demand_power,36236.8
2005-01-05 10:00:00,region2,demand_power,2418.032
2005-01-05 11:00:00,region1,demand_power,36012.608
2005-01-05 11:00:00,region2,demand_power,2418.032
2005-01-05 12:00:00,region1,demand_power,35891.136
2005-01-05 12:00:00,region2,demand_power,2377.05
2005-01-05 13:00:00,region1,demand_power,36196.56
2005-01-05 13:00:00,region2,demand_power,2336.066
