nodes,techs,carriers,timesteps,capacity_factor
region1,ccgt,power,2005-01-01 00:00:00,0.931212
region1,ccgt,power,2005-01-01 01:00:00,0.8964890999999999
region1,ccgt,power,2005-01-01 02:00:00,0.8729890666666666
region1,ccgt,power,2005-01-01 03:00:00,0.8543424333333334
region1,ccgt,power,2005-01-01 04:00:00,0.8558349666666666
region1,ccgt,power,2005-01-01 05:00:00,0.8746243
region1,ccgt,power,2005-01-01 06:00:00,0.8989461333333333
region1,ccgt,power,2005-01-01 07:00:00,0.8987179333333334
region1,ccgt,power,2005-01-01 08:00:00,0.6661056000000001
region1,ccgt,power,2005-01-01 09:00:00,0.6921141333333333
region1,ccgt,power,2005-01-01 10:00:00,0.6980461333333333
region1,ccgt,power,2005-01-01 11:00:00,0.6948770666666667
region1,ccgt,power,2005-01-01 12:00:00,0.6964555
region1,ccgt,power,2005-01-01 13:00:00,0.7062168333333334
region1,ccgt,power,2005-01-01 14:00:00,0.7470991333333333
region1,ccgt,power,2005-01-01 15:00:00,0.8132248333333333
region1,ccgt,power,2005-01-01 16:00:00,0.8614531
region1,ccgt,power,2005-01-01 17:00:00,0.8731917666666666
region1,ccgt,power,2005-01-01 18:00:00,0.8456755
region1,ccgt,power,2005-01-01 19:00:00,0.8153309666666667
region1,ccgt,power,2005-01-01 20:00:00,0.775048
region1,ccgt,power,2005-01-01 21:00:00,0.7133888
region1,ccgt,power,2005-01-01 22:00:00,0.7267443333333334
region1,ccgt,power,2005-01-01 23:00:00,0.9250256
region1,ccgt,power,2005-01-02 00:00:00,0.9055932
region1,ccgt,power,2005-01-02 01:00:00,0.9124787
region1,ccgt,power,2005-01-02 02:00:00,0.9156077666666667
region1,ccgt,power,2005-01-02 03:00:00,0.9357400333333333
region1,ccgt,power,2005-01-02 04:00:00,1.0
region1,ccgt,power,2005-01-02 05:00:00,1.0
region1,ccgt,power,2005-01-02 06:00:00,1.0
region1,ccgt,power,2005-01-02 07:00:00,1.0
region1,ccgt,power,2005-01-02 08:00:00,0.9066589666666667
region1,ccgt,power,2005-01-02 09:00:00,0.9264323
region1,ccgt,power,2005-01-02 10:00:00,0.9255325666666666
region1,ccgt,power,2005-01-02 11:00:00,0.9195400333333333
region1,ccgt,power,2005-01-02 12:00:00,0.9154872333333333
region1,ccgt,power,2005-01-02 13:00:00,0.9252157666666667
region1,ccgt,power,2005-01-02 14:00:00,0.9568445666666666
region1,ccgt,power,2005-01-02 15:00:00,0.9999896333333332
region1,ccgt,power,2005-01-02 16:00:00,1.0
region1,ccgt,power,2005-01-02 17:00:00,1.0
region1,ccgt,power,2005-01-02 18:00:00,0.9853624333333333
region1,ccgt,power,2005-01-02 19:00:00,0.9340573666666667
region1,ccgt,power,2005-01-02 20:00:00,1.0
region1,ccgt,power,2005-01-02 21:00:00,1.0
