nodes,techs,carriers,flow_cap
region1,ccgt,power,30000.0
region1,demand_power,power,39033.52
region1,region1_to_region1_1,power,9000.0
region1,region1_to_region1_2,power,0.0
region1,region1_to_region1_3,power,2280.3859
region1,region1_to_region2,power,3230.4729
region1_1,csp,power,10000.0
region1_1,region1_to_region1_1,power,9000.0
region1_2,csp,power,0.0
region1_2,region1_to_region1_2,power,0.0
region1_3,csp,power,2533.7621
region1_3,region1_to_region1_3,power,2280.3859
region2,battery,power,1000.0
region2,demand_power,power,2909.836
region2,region1_to_region2,power,3230.4729
