nodes,techs,carriers,timesteps,flow_out
region1,ccgt,power,2005-01-01 00:00:00,27936.36
region1,ccgt,power,2005-01-01 01:00:00,26894.673
region1,ccgt,power,2005-01-01 02:00:00,26189.672
region1,ccgt,power,2005-01-01 03:00:00,25630.273
region1,ccgt,power,2005-01-01 04:00:00,25675.049
region1,ccgt,power,2005-01-01 05:00:00,26238.729
region1,ccgt,power,2005-01-01 06:00:00,26968.384
region1,ccgt,power,2005-01-01 07:00:00,26961.538
region1,ccgt,power,2005-01-01 08:00:00,19983.168
region1,ccgt,power,2005-01-01 09:00:00,20763.424
region1,ccgt,power,2005-01-01 10:00:00,20941.384
region1,ccgt,power,2005-01-01 11:00:00,20846.312
region1,ccgt,power,2005-01-01 12:00:00,20893.665
region1,ccgt,power,2005-01-01 13:00:00,21186.505
region1,ccgt,power,2005-01-01 14:00:00,22412.974
region1,ccgt,power,2005-01-01 15:00:00,24396.745
region1,ccgt,power,2005-01-01 16:00:00,25843.593
region1,ccgt,power,2005-01-01 17:00:00,26195.753
region1,ccgt,power,2005-01-01 18:00:00,25370.265
region1,ccgt,power,2005-01-01 19:00:00,24459.929
region1,ccgt,power,2005-01-01 20:00:00,23251.44
region1,ccgt,power,2005-01-01 21:00:00,21401.664
region1,ccgt,power,2005-01-01 22:00:00,21802.33
region1,ccgt,power,2005-01-01 23:00:00,27750.768
region1,ccgt,power,2005-01-02 00:00:00,27167.796
region1,ccgt,power,2005-01-02 01:00:00,27374.361
region1,ccgt,power,2005-01-02 02:00:00,27468.233
region1,ccgt,power,2005-01-02 03:00:00,28072.201
region1,ccgt,power,2005-01-02 04:00:00,30000.0
region1,ccgt,power,2005-01-02 05:00:00,30000.0
region1,ccgt,power,2005-01-02 06:00:00,30000.0
region1,ccgt,power,2005-01-02 07:00:00,30000.0
region1,ccgt,power,2005-01-02 08:00:00,27199.769
region1,ccgt,power,2005-01-02 09:00:00,27792.969
region1,ccgt,power,2005-01-02 10:00:00,27765.977
region1,ccgt,power,2005-01-02 11:00:00,27586.201
region1,ccgt,power,2005-01-02 12:00:00,27464.617
