nodes,techs,timesteps,storage
region1_1,csp,2005-01-01 00:00:00,0.0
region1_1,csp,2005-01-01 01:00:00,0.0
region1_1,csp,2005-01-01 02:00:00,0.0
region1_1,csp,2005-01-01 03:00:00,0.0
region1_1,csp,2005-01-01 04:00:00,0.0
region1_1,csp,2005-01-01 05:00:00,0.0
region1_1,csp,2005-01-01 06:00:00,0.0
region1_1,csp,2005-01-01 07:00:00,0.0
region1_1,csp,2005-01-01 08:00:00,9396.2117
region1_1,csp,2005-01-01 09:00:00,40969.328
region1_1,csp,2005-01-01 10:00:00,83102.676
region1_1,csp,2005-01-01 11:00:00,125151.76
region1_1,csp,2005-01-01 12:00:00,167116.74
region1_1,csp,2005-01-01 13:00:00,200679.36
region1_1,csp,2005-01-01 14:00:00,214972.93
region1_1,csp,2005-01-01 15:00:00,197637.15
region1_1,csp,2005-01-01 16:00:00,172241.88
region1_1,csp,2005-01-01 17:00:00,146897.4
region1_1,csp,2005-01-01 18:00:00,121603.6
region1_1,csp,2005-01-01 19:00:00,96360.394
region1_1,csp,2005-01-01 20:00:00,71167.673
region1_1,csp,2005-01-01 21:00:00,46025.338
region1_1,csp,2005-01-01 22:00:00,26902.226
region1_1,csp,2005-01-01 23:00:00,26848.421
region1_1,csp,2005-01-02 00:00:00,26794.724
region1_1,csp,2005-01-02 01:00:00,26741.135
region1_1,csp,2005-01-02 02:00:00,26687.653
region1_1,csp,2005-01-02 03:00:00,26634.277
region1_1,csp,2005-01-02 04:00:00,26581.009
region1_1,csp,2005-01-02 05:00:00,21391.598
region1_1,csp,2005-01-02 06:00:00,11165.483
region1_1,csp,2005-01-02 07:00:00,0.0
region1_1,csp,2005-01-02 08:00:00,8543.3635
region1_1,csp,2005-01-02 09:00:00,38940.549
region1_1,csp,2005-01-02 10:00:00,80362.401
region1_1,csp,2005-01-02 11:00:00,122416.96
region1_1,csp,2005-01-02 12:00:00,164200.31
region1_1,csp,2005-01-02 13:00:00,197168.34
region1_1,csp,2005-01-02 14:00:00,210709.44
region1_1,csp,2005-01-02 15:00:00,193750.53
region1_1,csp,2005-01-02 16:00:00,168363.03
region1_1,csp,2005-01-02 17:00:00,143026.3
region1_1,csp,2005-01-02 18:00:00,117740.25
region1_1,csp,2005-01-02 19:00:00,92504.771
region1_1,csp,2005-01-02 20:00:00,77622.474
region1_1,csp,2005-01-02 21:00:00,69301.14
region1_1,csp,2005-01-02 22:00:00,66680.649
region1_1,csp,2005-01-02 23:00:00,66547.287
region1_1,csp,2005-01-03 00:00:00,66414.193
region1_1,csp,2005-01-03 01:00:00,66281.364
region1_1,csp,2005-01-03 02:00:00,66148.802
region1_1,csp,2005-01-03 03:00:00,66016.504
region1_1,csp,2005-01-03 04:00:00,61419.912
region1_1,csp,2005-01-03 05:00:00,48877.668
region1_1,csp,2005-01-03 06:00:00,30920.314
region1_1,csp,2005-01-03 07:00:00,13068.591
region1_1,csp,2005-01-03 08:00:00,24843.936
region1_1,csp,2005-01-03 09:00:00,57829.474
region1_1,csp,2005-01-03 10:00:00,102227.13
region1_1,csp,2005-01-03 11:00:00,147389.14
region1_1,csp,2005-01-03 12:00:00,192878.26
region1_1,csp,2005-01-03 13:00:00,229324.23
region1_1,csp,2005-01-03 14:00:00,244300.4
region1_1,csp,2005-01-03 15:00:00,228201.47
region1_1,csp,2005-01-03 16:00:00,202745.07
region1_1,csp,2005-01-03 17:00:00,177339.58
region1_1,csp,2005-01-03 18:00:00,151984.9
region1_1,csp,2005-01-03 19:00:00,129227.48
region1_1,csp,2005-01-03 20:00:00,111429.67
region1_1,csp,2005-01-03 21:00:00,99914.121
region1_1,csp,2005-01-03 22:00:00,93597.379
region1_1,csp,2005-01-03 23:00:00,90654.87
region1_1,csp,2005-01-04 00:00:00,89736.38
region1_1,csp,2005-01-04 01:00:00,89556.907
region1_1,csp,2005-01-04 02:00:00,89112.791
region1_1,csp,2005-01-04 03:00:00,87147.696
region1_1,csp,2005-01-04 04:00:00,79807.257
region1_1,csp,2005-01-04 05:00:00,65511.705
region1_1,csp,2005-01-04 06:00:00,45721.616
region1_1,csp,2005-01-04 07:00:00,25616.181
region1_1,csp,2005-01-04 08:00:00,34755.434
region1_1,csp,2005-01-04 09:00:00,64119.048
region1_1,csp,2005-01-04 10:00:00,106191.69
region1_1,csp,2005-01-04 11:00:00,149484.0
region1_1,csp,2005-01-04 12:00:00,193054.09
region1_1,csp,2005-01-04 13:00:00,225023.38
region1_1,csp,2005-01-04 14:00:00,237708.99
region1_1,csp,2005-01-04 15:00:00,221872.02
region1_1,csp,2005-01-04 16:00:00,196428.27
region1_1,csp,2005-01-04 17:00:00,171035.42
region1_1,csp,2005-01-04 18:00:00,145693.35
region1_1,csp,2005-01-04 19:00:00,121528.07
region1_1,csp,2005-01-04 20:00:00,102187.57
region1_1,csp,2005-01-04 21:00:00,89383.432
region1_1,csp,2005-01-04 22:00:00,81998.818
region1_1,csp,2005-01-04 23:00:00,78183.107
region1_1,csp,2005-01-05 00:00:00,76348.405
region1_1,csp,2005-01-05 01:00:00,75261.861
region1_1,csp,2005-01-05 02:00:00,73843.935
region1_1,csp,2005-01-05 03:00:00,70796.844
region1_1,csp,2005-01-05 04:00:00,61473.181
region1_1,csp,2005-01-05 05:00:00,44098.669
region1_1,csp,2005-01-05 06:00:00,22828.74
region1_1,csp,2005-01-05 07:00:00,0.0
region1_1,csp,2005-01-05 08:00:00,10595.754
region1_1,csp,2005-01-05 09:00:00,37767.934
region1_1,csp,2005-01-05 10:00:00,79907.684
region1_1,csp,2005-01-05 11:00:00,121963.16
region1_1,csp,2005-01-05 12:00:00,163371.12
region1_1,csp,2005-01-05 13:00:00,197480.64
region1_1,csp,2005-01-05 14:00:00,214077.73
region1_1,csp,2005-01-05 15:00:00,198985.19
region1_1,csp,2005-01-05 16:00:00,173587.22
region1_1,csp,2005-01-05 17:00:00,148240.04
region1_1,csp,2005-01-05 18:00:00,122943.56
region1_1,csp,2005-01-05 19:00:00,97697.677
region1_1,csp,2005-01-05 20:00:00,72502.281
region1_1,csp,2005-01-05 21:00:00,47357.277
region1_1,csp,2005-01-05 22:00:00,22262.562
region1_1,csp,2005-01-05 23:00:00,0.0
region1_2,csp,2005-01-01 00:00:00,0.0
region1_2,csp,2005-01-01 01:00:00,0.0
region1_2,csp,2005-01-01 02:00:00,0.0
region1_2,csp,2005-01-01 03:00:00,0.0
region1_2,csp,2005-01-01 04:00:00,0.0
region1_2,csp,2005-01-01 05:00:00,0.0
region1_2,csp,2005-01-01 06:00:00,0.0
region1_2,csp,2005-01-01 07:00:00,0.0
