techs,carriers,carrier_export
N1_to_X2,electricity,False
N1_to_X2,gas,False
N1_to_X2,heat,False
N1_to_X3,electricity,False
N1_to_X3,gas,False
N1_to_X3,heat,False
X1_to_N1,electricity,False
X1_to_N1,gas,False
X1_to_N1,heat,False
X1_to_X2,electricity,False
X1_to_X2,gas,False
X1_to_X2,heat,False
X1_to_X3,electricity,False
X1_to_X3,gas,False
X1_to_X3,heat,False
boiler,electricity,False
boiler,gas,False
boiler,heat,False
chp,electricity,True
chp,gas,False
chp,heat,False
demand_electricity,electricity,False
demand_electricity,gas,False
demand_electricity,heat,False
demand_heat,electricity,False
demand_heat,gas,False
demand_heat,heat,False
pv,electricity,True
pv,gas,False
pv,heat,False
supply_gas,electricity,False
supply_gas,gas,False
supply_gas,heat,False
supply_grid_power,electricity,False
supply_grid_power,gas,False
supply_grid_power,heat,False
