nodes,techs,carriers,carrier_in
N1,N1_to_X2,electricity,False
N1,N1_to_X2,gas,False
N1,N1_to_X2,heat,True
N1,N1_to_X3,electricity,False
N1,N1_to_X3,gas,False
N1,N1_to_X3,heat,True
N1,X1_to_N1,electricity,False
N1,X1_to_N1,gas,False
N1,X1_to_N1,heat,True
N1,X1_to_X2,electricity,False
N1,X1_to_X2,gas,False
N1,X1_to_X2,heat,False
N1,X1_to_X3,electricity,False
N1,X1_to_X3,gas,False
N1,X1_to_X3,heat,False
N1,boiler,electricity,False
N1,boiler,gas,False
N1,boiler,heat,False
N1,chp,electricity,False
N1,chp,gas,False
N1,chp,heat,False
N1,demand_electricity,electricity,False
N1,demand_electricity,gas,False
N1,demand_electricity,heat,False
N1,demand_heat,electricity,False
N1,demand_heat,gas,False
N1,demand_heat,heat,False
N1,pv,electricity,False
N1,pv,gas,False
N1,pv,heat,False
N1,supply_gas,electricity,False
N1,supply_gas,gas,False
N1,supply_gas,heat,False
N1,supply_grid_power,electricity,False
N1,supply_grid_power,gas,False
N1,supply_grid_power,heat,False
X1,N1_to_X2,electricity,False
X1,N1_to_X2,gas,False
X1,N1_to_X2,heat,False
X1,N1_to_X3,electricity,False
X1,N1_to_X3,gas,False
X1,N1_to_X3,heat,False
X1,X1_to_N1,electricity,False
X1,X1_to_N1,gas,False
X1,X1_to_N1,heat,True
X1,X1_to_X2,electricity,True
X1,X1_to_X2,gas,False
X1,X1_to_X2,heat,False
X1,X1_to_X3,electricity,True
X1,X1_to_X3,gas,False
X1,X1_to_X3,heat,False
X1,boiler,electricity,False
X1,boiler,gas,False
X1,boiler,heat,False
X1,chp,electricity,False
X1,chp,gas,True
X1,chp,heat,False
X1,demand_electricity,electricity,True
X1,demand_electricity,gas,False
X1,demand_electricity,heat,False
X1,demand_heat,electricity,False
X1,demand_heat,gas,False
X1,demand_heat,heat,True
X1,pv,electricity,False
X1,pv,gas,False
X1,pv,heat,False
X1,supply_gas,electricity,False
X1,supply_gas,gas,False
X1,supply_gas,heat,False
X1,supply_grid_power,electricity,False
X1,supply_grid_power,gas,False
X1,supply_grid_power,heat,False
X2,N1_to_X2,electricity,False
X2,N1_to_X2,gas,False
X2,N1_to_X2,heat,True
X2,N1_to_X3,electricity,False
X2,N1_to_X3,gas,False
X2,N1_to_X3,heat,False
X2,X1_to_N1,electricity,False
X2,X1_to_N1,gas,False
X2,X1_to_N1,heat,False
X2,X1_to_X2,electricity,True
X2,X1_to_X2,gas,False
X2,X1_to_X2,heat,False
X2,X1_to_X3,electricity,False
X2,X1_to_X3,gas,False
X2,X1_to_X3,heat,False
X2,boiler,electricity,False
X2,boiler,gas,True
X2,boiler,heat,False
X2,chp,electricity,False
X2,chp,gas,False
X2,chp,heat,False
X2,demand_electricity,electricity,True
X2,demand_electricity,gas,False
X2,demand_electricity,heat,False
X2,demand_heat,electricity,False
X2,demand_heat,gas,False
X2,demand_heat,heat,True
X2,pv,electricity,False
X2,pv,gas,False
X2,pv,heat,False
X2,supply_gas,electricity,False
X2,supply_gas,gas,False
X2,supply_gas,heat,False
X2,supply_grid_power,electricity,False
X2,supply_grid_power,gas,False
X2,supply_grid_power,heat,False
X3,N1_to_X2,electricity,False
X3,N1_to_X2,gas,False
X3,N1_to_X2,heat,False
X3,N1_to_X3,electricity,False
X3,N1_to_X3,gas,False
X3,N1_to_X3,heat,True
X3,X1_to_N1,electricity,False
X3,X1_to_N1,gas,False
X3,X1_to_N1,heat,False
X3,X1_to_X2,electricity,False
X3,X1_to_X2,gas,False
X3,X1_to_X2,heat,False
X3,X1_to_X3,electricity,True
X3,X1_to_X3,gas,False
X3,X1_to_X3,heat,False
X3,boiler,electricity,False
X3,boiler,gas,True
X3,boiler,heat,False
X3,chp,electricity,False
X3,chp,gas,False
X3,chp,heat,False
X3,demand_electricity,electricity,True
X3,demand_electricity,gas,False
X3,demand_electricity,heat,False
X3,demand_heat,electricity,False
X3,demand_heat,gas,False
X3,demand_heat,heat,True
X3,pv,electricity,False
X3,pv,gas,False
X3,pv,heat,False
X3,supply_gas,electricity,False
X3,supply_gas,gas,False
X3,supply_gas,heat,False
X3,supply_grid_power,electricity,False
X3,supply_grid_power,gas,False
X3,supply_grid_power,heat,False
