techs,carriers,nodes,flow_cap_max
N1_to_X2,heat,N1,2000.0
N1_to_X2,heat,X2,2000.0
N1_to_X3,heat,N1,2000.0
N1_to_X3,heat,X3,2000.0
X1_to_N1,heat,N1,2000.0
X1_to_N1,heat,X1,2000.0
X1_to_X2,electricity,X1,2000.0
X1_to_X2,electricity,X2,2000.0
X1_to_X3,electricity,X1,2000.0
X1_to_X3,electricity,X3,2000.0
boiler,heat,X2,600.0
boiler,heat,X3,600.0
chp,electricity,X1,1500.0
pv,electricity,X1,250.0
pv,electricity,X2,250.0
pv,electricity,X3,50.0
supply_gas,gas,X1,2000.0
supply_gas,gas,X2,2000.0
supply_gas,gas,X3,2000.0
supply_grid_power,electricity,X1,2000.0
