timesteps,techs,nodes,sink_use_equals
2005-07-01 00:00:00,demand_electricity,X1,0.455564001
2005-07-01 00:00:00,demand_electricity,X2,94.54580124
2005-07-01 00:00:00,demand_electricity,X3,18.76291208
2005-07-01 00:00:00,demand_heat,X1,0.215376486
2005-07-01 00:00:00,demand_heat,X2,64.73199077
2005-07-01 00:00:00,demand_heat,X3,0.0156
2005-07-01 01:00:00,demand_electricity,X1,0.405798008
2005-07-01 01:00:00,demand_electricity,X2,76.96061918
2005-07-01 01:00:00,demand_electricity,X3,18.76291208
2005-07-01 01:00:00,demand_heat,X1,0.20083754
2005-07-01 01:00:00,demand_heat,X2,70.45343925
2005-07-01 01:00:00,demand_heat,X3,0.860322027
2005-07-01 02:00:00,demand_electricity,X1,0.393291395
2005-07-01 02:00:00,demand_electricity,X2,77.4757501
2005-07-01 02:00:00,demand_electricity,X3,18.76291208
2005-07-01 02:00:00,demand_heat,X1,0.207305695
2005-07-01 02:00:00,demand_heat,X2,77.19297585
2005-07-01 02:00:00,demand_heat,X3,0.0156
2005-07-01 03:00:00,demand_electricity,X1,0.393992241
2005-07-01 03:00:00,demand_electricity,X2,77.4757501
2005-07-01 03:00:00,demand_electricity,X3,18.76291208
2005-07-01 03:00:00,demand_heat,X1,0.318949064
2005-07-01 03:00:00,demand_heat,X2,104.5564355
2005-07-01 03:00:00,demand_heat,X3,0.0156
2005-07-01 04:00:00,demand_electricity,X1,0.44008539
2005-07-01 04:00:00,demand_electricity,X2,82.73149557
2005-07-01 04:00:00,demand_electricity,X3,18.76291208
2005-07-01 04:00:00,demand_heat,X1,0.650733617
2005-07-01 04:00:00,demand_heat,X2,123.2284445
2005-07-01 04:00:00,demand_heat,X3,0.860406948
2005-07-01 05:00:00,demand_electricity,X1,0.56782052
2005-07-01 05:00:00,demand_electricity,X2,148.5334787
2005-07-01 05:00:00,demand_electricity,X3,30.21242501
2005-07-01 05:00:00,demand_heat,X1,1.039384351
2005-07-01 05:00:00,demand_heat,X2,167.6688186
2005-07-01 05:00:00,demand_heat,X3,7.263326705
2005-07-01 06:00:00,demand_electricity,X1,0.7325345329999999
2005-07-01 06:00:00,demand_electricity,X2,189.5708167
2005-07-01 06:00:00,demand_electricity,X3,35.23330708
2005-07-01 06:00:00,demand_heat,X1,1.181567355
2005-07-01 06:00:00,demand_heat,X2,264.88709159999996
2005-07-01 06:00:00,demand_heat,X3,9.398229082
2005-07-01 07:00:00,demand_electricity,X1,0.713803086
2005-07-01 07:00:00,demand_electricity,X2,238.73471119999996
2005-07-01 07:00:00,demand_electricity,X3,61.3952694
2005-07-01 07:00:00,demand_heat,X1,1.285403292
2005-07-01 07:00:00,demand_heat,X2,365.1376749
2005-07-01 07:00:00,demand_heat,X3,5.7928417539999995
2005-07-01 08:00:00,demand_electricity,X1,0.6899916540000001
2005-07-01 08:00:00,demand_electricity,X2,244.2844926
2005-07-01 08:00:00,demand_electricity,X3,63.64296171
2005-07-01 08:00:00,demand_heat,X1,1.209117445
2005-07-01 08:00:00,demand_heat,X2,258.172589
2005-07-01 08:00:00,demand_heat,X3,3.322585114
2005-07-01 09:00:00,demand_electricity,X1,0.7076500840000001
2005-07-01 09:00:00,demand_electricity,X2,231.4401809
2005-07-01 09:00:00,demand_electricity,X3,62.679665
2005-07-01 09:00:00,demand_heat,X1,1.219912435
2005-07-01 09:00:00,demand_heat,X2,190.5855777
2005-07-01 09:00:00,demand_heat,X3,1.927263888
2005-07-01 10:00:00,demand_electricity,X1,0.723601032
2005-07-01 10:00:00,demand_electricity,X2,222.5307714
2005-07-01 10:00:00,demand_electricity,X3,64.92735731
2005-07-01 10:00:00,demand_heat,X1,0.736295125
2005-07-01 10:00:00,demand_heat,X2,148.1871155
2005-07-01 10:00:00,demand_heat,X3,1.621618801
