techs,timesteps,source_use_equals
pv,2005-07-01 00:00:00,0.0
pv,2005-07-01 01:00:00,0.0
pv,2005-07-01 02:00:00,0.0
pv,2005-07-01 03:00:00,0.0
pv,2005-07-01 04:00:00,0.0
pv,2005-07-01 05:00:00,0.007857143
pv,2005-07-01 06:00:00,0.029142857
pv,2005-07-01 07:00:00,0.055571429
pv,2005-07-01 08:00:00,0.078428571
pv,2005-07-01 09:00:00,0.096
pv,2005-07-01 10:00:00,0.108142857
pv,2005-07-01 11:00:00,0.107571429
pv,2005-07-01 12:00:00,0.09
pv,2005-07-01 13:00:00,0.071142857
pv,2005-07-01 14:00:00,0.064428571
pv,2005-07-01 15:00:00,0.050714286
pv,2005-07-01 16:00:00,0.038571429
pv,2005-07-01 17:00:00,0.026285714
pv,2005-07-01 18:00:00,0.009714286
pv,2005-07-01 19:00:00,0.0
pv,2005-07-01 20:00:00,0.0
pv,2005-07-01 21:00:00,0.0
pv,2005-07-01 22:00:00,0.0
pv,2005-07-01 23:00:00,0.0
pv,2005-07-02 00:00:00,0.0
pv,2005-07-02 01:00:00,0.0
pv,2005-07-02 02:00:00,0.0
pv,2005-07-02 03:00:00,0.0
pv,2005-07-02 04:00:00,0.0
pv,2005-07-02 05:00:00,0.008142857
pv,2005-07-02 06:00:00,0.028714286
pv,2005-07-02 07:00:00,0.048571429
pv,2005-07-02 08:00:00,0.068142857
pv,2005-07-02 09:00:00,0.090142857
pv,2005-07-02 10:00:00,0.107571429
pv,2005-07-02 11:00:00,0.111285714
pv,2005-07-02 12:00:00,0.102857143
pv,2005-07-02 13:00:00,0.081714286
pv,2005-07-02 14:00:00,0.057857143
pv,2005-07-02 15:00:00,0.041142857
pv,2005-07-02 16:00:00,0.027
pv,2005-07-02 17:00:00,0.014714286
pv,2005-07-02 18:00:00,0.006142857
pv,2005-07-02 19:00:00,0.000857143
pv,2005-07-02 20:00:00,0.0
pv,2005-07-02 21:00:00,0.0
pv,2005-07-02 22:00:00,0.0
pv,2005-07-02 23:00:00,0.0
