nodes,techs,carriers,timesteps,capacity_factor
N1,N1_to_X2,heat,2005-07-01 00:00:00,0.27385755095256786
N1,N1_to_X2,heat,2005-07-01 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 11:00:00,0.30259180093293503
N1,N1_to_X2,heat,2005-07-01 12:00:00,0.3218630294305241
N1,N1_to_X2,heat,2005-07-01 13:00:00,0.32267462464509794
N1,N1_to_X2,heat,2005-07-01 14:00:00,0.2993898317842763
N1,N1_to_X2,heat,2005-07-01 15:00:00,0.4534246269316518
N1,N1_to_X2,heat,2005-07-01 16:00:00,0.3390695996512243
N1,N1_to_X2,heat,2005-07-01 17:00:00,0.22778871527316014
N1,N1_to_X2,heat,2005-07-01 18:00:00,0.0381055301908689
N1,N1_to_X2,heat,2005-07-01 19:00:00,0.057605729988369596
N1,N1_to_X2,heat,2005-07-01 20:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 22:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 23:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 00:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 11:00:00,0.06870276492197175
N1,N1_to_X2,heat,2005-07-02 12:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 13:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 14:00:00,0.34088853486143117
N1,N1_to_X2,heat,2005-07-02 15:00:00,0.44147852358215006
N1,N1_to_X2,heat,2005-07-02 16:00:00,0.37729866209790425
N1,N1_to_X2,heat,2005-07-02 17:00:00,0.2561869837578982
N1,N1_to_X2,heat,2005-07-02 18:00:00,0.0428132150408778
N1,N1_to_X2,heat,2005-07-02 19:00:00,0.06884237086305897
N1,N1_to_X2,heat,2005-07-02 20:00:00,0.04043289931562129
N1,N1_to_X2,heat,2005-07-02 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 22:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 23:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 00:00:00,0.8060179825879821
N1,N1_to_X3,heat,2005-07-01 01:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 04:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 05:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 06:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 07:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 08:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 09:00:00,0.0
