nodes,techs,costs,cost
N1,N1_to_X2,monetary,0.05167889431342691
N1,N1_to_X3,monetary,0.0037605399983080697
N1,X1_to_N1,monetary,0.15460152297892452
X1,X1_to_N1,monetary,0.15460152297892452
X1,X1_to_X2,monetary,0.008285595830850777
X1,X1_to_X3,monetary,0.0006908645239982231
X1,chp,monetary,154.99880159808646
X1,pv,monetary,0.0
X1,supply_gas,monetary,569.1598835643474
X1,supply_grid_power,monetary,14.735889714786364
X2,N1_to_X2,monetary,0.05167889431342691
X2,X1_to_X2,monetary,0.008285595830850777
X2,boiler,monetary,11.713116686016177
X2,pv,monetary,30.598098393847696
X2,supply_gas,monetary,41.98755191022095
X3,N1_to_X3,monetary,0.0037605399983080697
X3,X1_to_X3,monetary,0.0006908645239982231
X3,boiler,monetary,0.00249641663868941
X3,pv,monetary,18.692300673021393
X3,supply_gas,monetary,0.011022843548651986
