nodes,techs,costs,cost_investment
N1,N1_to_X2,monetary,85.60917899999998
N1,N1_to_X3,monetary,6.2295594
N1,X1_to_N1,monetary,256.1066685
X1,X1_to_N1,monetary,256.1066685
X1,X1_to_X2,monetary,13.725585000000002
X1,X1_to_X3,monetary,1.1444584000000002
X1,chp,monetary,195710.02500000002
X1,pv,monetary,0.0
X1,supply_gas,monetary,644.31283
X1,supply_grid_power,monetary,3362.0147
X2,N1_to_X2,monetary,85.60917899999998
X2,X1_to_X2,monetary,13.725585000000002
X2,boiler,monetary,8310.993257
X2,pv,monetary,85467.83714999999
X2,supply_gas,monetary,226.85938
X3,N1_to_X3,monetary,6.2295594
X3,X1_to_X3,monetary,1.1444584000000002
X3,boiler,monetary,1.2167999999999999
X3,pv,monetary,67500.0
X3,supply_gas,monetary,0.018352941
