nodes,techs,costs,cost_investment_annualised
N1,N1_to_X2,monetary,0.05167889431342691
N1,N1_to_X3,monetary,0.0037605399983080697
N1,X1_to_N1,monetary,0.15460152297892452
X1,X1_to_N1,monetary,0.15460152297892452
X1,X1_to_X2,monetary,0.008285595830850777
X1,X1_to_X3,monetary,0.0006908645239982231
X1,chp,monetary,118.14244472608645
X1,pv,monetary,0.0
X1,supply_gas,monetary,0.38894631434737864
X1,supply_grid_power,monetary,2.0295160447863627
X2,N1_to_X2,monetary,0.05167889431342691
X2,X1_to_X2,monetary,0.008285595830850777
X2,boiler,monetary,5.017019754016176
X2,pv,monetary,51.593571797622694
X2,supply_gas,monetary,0.13694608522094992
X3,N1_to_X3,monetary,0.0037605399983080697
X3,X1_to_X3,monetary,0.0006908645239982231
X3,boiler,monetary,0.0007345343026894099
X3,pv,monetary,40.747095193569336
X3,supply_gas,monetary,1.1078948651984619e-05
