nodes,techs,carriers,costs,cost_investment_flow_cap
N1,N1_to_X2,heat,monetary,85.60917899999998
N1,N1_to_X3,heat,monetary,6.2295594
N1,X1_to_N1,heat,monetary,256.1066685
X1,X1_to_N1,heat,monetary,256.1066685
X1,X1_to_X2,electricity,monetary,13.725585000000002
X1,X1_to_X3,electricity,monetary,1.1444584000000002
X1,chp,electricity,monetary,195710.02500000002
X1,pv,electricity,monetary,0.0
X1,supply_gas,gas,monetary,644.31283
X1,supply_grid_power,electricity,monetary,3362.0147
X2,N1_to_X2,heat,monetary,85.60917899999998
X2,X1_to_X2,electricity,monetary,13.725585000000002
X2,boiler,heat,monetary,8310.993257
X2,pv,electricity,monetary,85467.83714999999
X2,supply_gas,gas,monetary,226.85938
X3,N1_to_X3,heat,monetary,6.2295594
X3,X1_to_X3,electricity,monetary,1.1444584000000002
X3,boiler,heat,monetary,1.2167999999999999
X3,pv,electricity,monetary,67500.0
X3,supply_gas,gas,monetary,0.018352941
