nodes,techs,costs,timesteps,cost_operation_variable
X1,chp,monetary,2005-07-01 00:00:00,0.4643068
X1,chp,monetary,2005-07-01 01:00:00,0.392331484
X1,chp,monetary,2005-07-01 02:00:00,0.394384032
X1,chp,monetary,2005-07-01 03:00:00,0.394386836
X1,chp,monetary,2005-07-01 04:00:00,0.41602324
X1,chp,monetary,2005-07-01 05:00:00,0.7223056
X1,chp,monetary,2005-07-01 06:00:00,0.88511024
X1,chp,monetary,2005-07-01 07:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 08:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 09:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 10:00:00,0.8786051200000001
X1,chp,monetary,2005-07-01 11:00:00,0.87511112
X1,chp,monetary,2005-07-01 12:00:00,0.83877504
X1,chp,monetary,2005-07-01 13:00:00,0.74073124
X1,chp,monetary,2005-07-01 14:00:00,0.7881653599999999
X1,chp,monetary,2005-07-01 15:00:00,0.91537352
X1,chp,monetary,2005-07-01 16:00:00,0.7847958
X1,chp,monetary,2005-07-01 17:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 18:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 19:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 20:00:00,1.0437868000000001
X1,chp,monetary,2005-07-01 21:00:00,0.91955008
X1,chp,monetary,2005-07-01 22:00:00,0.63185784
X1,chp,monetary,2005-07-01 23:00:00,0.465511
X1,chp,monetary,2005-07-02 00:00:00,0.49710968000000005
X1,chp,monetary,2005-07-02 01:00:00,0.42881388
X1,chp,monetary,2005-07-02 02:00:00,0.42245612
X1,chp,monetary,2005-07-02 03:00:00,0.43192052000000003
X1,chp,monetary,2005-07-02 04:00:00,0.44935176000000004
X1,chp,monetary,2005-07-02 05:00:00,0.6720720800000001
X1,chp,monetary,2005-07-02 06:00:00,0.8572970000000001
X1,chp,monetary,2005-07-02 07:00:00,0.9950610000000001
X1,chp,monetary,2005-07-02 08:00:00,0.95651532
X1,chp,monetary,2005-07-02 09:00:00,0.9167605600000001
X1,chp,monetary,2005-07-02 10:00:00,0.86133264
X1,chp,monetary,2005-07-02 11:00:00,0.70288312
X1,chp,monetary,2005-07-02 12:00:00,0.6392723600000001
X1,chp,monetary,2005-07-02 13:00:00,0.6370545200000001
X1,chp,monetary,2005-07-02 14:00:00,0.7360042
X1,chp,monetary,2005-07-02 15:00:00,0.87063504
X1,chp,monetary,2005-07-02 16:00:00,0.77636512
X1,chp,monetary,2005-07-02 17:00:00,1.0437868000000001
X1,chp,monetary,2005-07-02 18:00:00,1.0437868000000001
X1,chp,monetary,2005-07-02 19:00:00,1.0437868000000001
X1,chp,monetary,2005-07-02 20:00:00,1.0437868000000001
X1,chp,monetary,2005-07-02 21:00:00,0.8821274
X1,chp,monetary,2005-07-02 22:00:00,0.63208916
X1,chp,monetary,2005-07-02 23:00:00,0.50225624
X1,supply_gas,monetary,2005-07-01 00:00:00,7.165228500000001
X1,supply_gas,monetary,2005-07-01 01:00:00,6.054498250000001
X1,supply_gas,monetary,2005-07-01 02:00:00,6.086173250000001
X1,supply_gas,monetary,2005-07-01 03:00:00,6.0862165
X1,supply_gas,monetary,2005-07-01 04:00:00,6.420111500000001
X1,supply_gas,monetary,2005-07-01 05:00:00,11.146691
X1,supply_gas,monetary,2005-07-01 06:00:00,13.6591085
X1,supply_gas,monetary,2005-07-01 07:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 08:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 09:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 10:00:00,13.558721
X1,supply_gas,monetary,2005-07-01 11:00:00,13.504801
X1,supply_gas,monetary,2005-07-01 12:00:00,12.944059250000002
X1,supply_gas,monetary,2005-07-01 13:00:00,11.431037750000002
X1,supply_gas,monetary,2005-07-01 14:00:00,12.163045750000002
X1,supply_gas,monetary,2005-07-01 15:00:00,14.126134250000002
X1,supply_gas,monetary,2005-07-01 16:00:00,12.1110465
X1,supply_gas,monetary,2005-07-01 17:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 18:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 19:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 20:00:00,16.10782075
X1,supply_gas,monetary,2005-07-01 21:00:00,14.190587500000001
X1,supply_gas,monetary,2005-07-01 22:00:00,9.75089275
X1,supply_gas,monetary,2005-07-01 23:00:00,7.18381175
X1,supply_gas,monetary,2005-07-02 00:00:00,7.671446
X1,supply_gas,monetary,2005-07-02 01:00:00,6.617498250000001
X1,supply_gas,monetary,2005-07-02 02:00:00,6.51938475
X1,supply_gas,monetary,2005-07-02 03:00:00,6.6654402500000005
X1,supply_gas,monetary,2005-07-02 04:00:00,6.934441
X1,supply_gas,monetary,2005-07-02 05:00:00,10.37148275
X1,supply_gas,monetary,2005-07-02 06:00:00,13.22989225
X1,supply_gas,monetary,2005-07-02 07:00:00,15.35587975
X1,supply_gas,monetary,2005-07-02 08:00:00,14.761039
X1,supply_gas,monetary,2005-07-02 09:00:00,14.1475395
X1,supply_gas,monetary,2005-07-02 10:00:00,13.292170500000001
X1,supply_gas,monetary,2005-07-02 11:00:00,10.8469615
X1,supply_gas,monetary,2005-07-02 12:00:00,9.86531425
X1,supply_gas,monetary,2005-07-02 13:00:00,9.8310885
X1,supply_gas,monetary,2005-07-02 14:00:00,11.3580895
X1,supply_gas,monetary,2005-07-02 15:00:00,13.435725750000001
X1,supply_gas,monetary,2005-07-02 16:00:00,11.980943000000002
X1,supply_gas,monetary,2005-07-02 17:00:00,16.10782075
X1,supply_gas,monetary,2005-07-02 18:00:00,16.10782075
X1,supply_gas,monetary,2005-07-02 19:00:00,16.10782075
X1,supply_gas,monetary,2005-07-02 20:00:00,16.10782075
X1,supply_gas,monetary,2005-07-02 21:00:00,13.613077500000001
X1,supply_gas,monetary,2005-07-02 22:00:00,9.754462250000001
X1,supply_gas,monetary,2005-07-02 23:00:00,7.750867750000001
X1,supply_grid_power,monetary,2005-07-01 00:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 01:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 02:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 03:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 04:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 05:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 06:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 07:00:00,0.7791789900000001
X1,supply_grid_power,monetary,2005-07-01 08:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 09:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 10:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 11:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 12:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 13:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 14:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 15:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 16:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 17:00:00,0.83361109
X1,supply_grid_power,monetary,2005-07-01 18:00:00,0.88941255
X1,supply_grid_power,monetary,2005-07-01 19:00:00,2.6097898
X1,supply_grid_power,monetary,2005-07-01 20:00:00,1.9308700000000003
X1,supply_grid_power,monetary,2005-07-01 21:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 22:00:00,0.0
X1,supply_grid_power,monetary,2005-07-01 23:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 00:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 01:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 02:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 03:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 04:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 05:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 06:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 07:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 08:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 09:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 10:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 11:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 12:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 13:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 14:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 15:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 16:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 17:00:00,0.41183352
X1,supply_grid_power,monetary,2005-07-02 18:00:00,0.89687892
X1,supply_grid_power,monetary,2005-07-02 19:00:00,3.3620147000000005
X1,supply_grid_power,monetary,2005-07-02 20:00:00,0.9927841000000002
X1,supply_grid_power,monetary,2005-07-02 21:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 22:00:00,0.0
X1,supply_grid_power,monetary,2005-07-02 23:00:00,0.0
X2,boiler,monetary,2005-07-01 00:00:00,0.0
X2,boiler,monetary,2005-07-01 01:00:00,0.019220922
X2,boiler,monetary,2005-07-01 02:00:00,0.045225888
X2,boiler,monetary,2005-07-01 03:00:00,0.174444184
X2,boiler,monetary,2005-07-01 04:00:00,0.250237476
X2,boiler,monetary,2005-07-01 05:00:00,0.24420386
X2,boiler,monetary,2005-07-01 06:00:00,0.5809474
X2,boiler,monetary,2005-07-01 07:00:00,0.90743752
X2,boiler,monetary,2005-07-01 08:00:00,0.39184119600000006
X2,boiler,monetary,2005-07-01 09:00:00,0.067093728
X2,boiler,monetary,2005-07-01 10:00:00,0.0
X2,boiler,monetary,2005-07-01 11:00:00,0.0
X2,boiler,monetary,2005-07-01 12:00:00,0.0
X2,boiler,monetary,2005-07-01 13:00:00,0.0
X2,boiler,monetary,2005-07-01 14:00:00,0.0
X2,boiler,monetary,2005-07-01 15:00:00,0.0
X2,boiler,monetary,2005-07-01 16:00:00,0.0
X2,boiler,monetary,2005-07-01 17:00:00,0.0
X2,boiler,monetary,2005-07-01 18:00:00,0.0
X2,boiler,monetary,2005-07-01 19:00:00,0.0
X2,boiler,monetary,2005-07-01 20:00:00,0.0
X2,boiler,monetary,2005-07-01 21:00:00,0.40497332
X2,boiler,monetary,2005-07-01 22:00:00,0.221913404
X2,boiler,monetary,2005-07-01 23:00:00,0.090441872
X2,boiler,monetary,2005-07-02 00:00:00,0.0
X2,boiler,monetary,2005-07-02 01:00:00,0.072108708
X2,boiler,monetary,2005-07-02 02:00:00,0.09430870799999999
X2,boiler,monetary,2005-07-02 03:00:00,0.162254704
X2,boiler,monetary,2005-07-02 04:00:00,0.240667264
X2,boiler,monetary,2005-07-02 05:00:00,0.220678048
X2,boiler,monetary,2005-07-02 06:00:00,0.50136516
X2,boiler,monetary,2005-07-02 07:00:00,0.8608166
X2,boiler,monetary,2005-07-02 08:00:00,0.399982168
X2,boiler,monetary,2005-07-02 09:00:00,0.153010804
X2,boiler,monetary,2005-07-02 10:00:00,0.0
