nodes,techs,carriers,flow_cap
N1,N1_to_X2,heat,190.24262
N1,N1_to_X3,heat,10.382599
N1,X1_to_N1,heat,569.12593
X1,X1_to_N1,heat,569.12593
X1,X1_to_X2,electricity,274.5117
X1,X1_to_X3,electricity,45.778336
X1,chp,electricity,260.9467
X1,chp,gas,644.31283
X1,chp,heat,208.75736
X1,demand_electricity,electricity,1.3079378
X1,demand_heat,heat,1.7197109
X1,pv,electricity,0.0
X1,supply_gas,gas,644.31283
X1,supply_grid_power,electricity,33.620147
X2,N1_to_X2,heat,190.24262
X2,X1_to_X2,electricity,274.5117
X2,boiler,gas,226.85938
X2,boiler,heat,192.83047
X2,demand_electricity,electricity,269.34435
X2,demand_heat,heat,365.13767
X2,pv,electricity,63.309509
X2,supply_gas,gas,226.85938
X3,N1_to_X3,heat,10.382599
X3,X1_to_X3,electricity,45.778336
X3,boiler,gas,0.018352941
X3,boiler,heat,0.0156
X3,demand_electricity,electricity,64.927357
X3,demand_heat,heat,9.3982291
X3,pv,electricity,50.0
X3,supply_gas,gas,0.018352941
