nodes,techs,carriers,timesteps,flow_in
N1,N1_to_X2,heat,2005-07-01 00:00:00,135.95514
N1,N1_to_X2,heat,2005-07-01 01:00:00,71.606325
N1,N1_to_X2,heat,2005-07-01 02:00:00,72.915564
N1,N1_to_X2,heat,2005-07-01 03:00:00,72.812606
N1,N1_to_X2,heat,2005-07-01 04:00:00,75.581024
N1,N1_to_X2,heat,2005-07-01 05:00:00,124.91161
N1,N1_to_X2,heat,2005-07-01 06:00:00,152.5968
N1,N1_to_X2,heat,2005-07-01 07:00:00,185.90437
N1,N1_to_X2,heat,2005-07-01 08:00:00,188.7086
N1,N1_to_X2,heat,2005-07-01 09:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 10:00:00,159.8809
N1,N1_to_X2,heat,2005-07-01 11:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 12:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 13:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 14:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 15:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 16:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 17:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 18:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 19:00:00,190.24262
N1,N1_to_X2,heat,2005-07-01 20:00:00,181.80682
N1,N1_to_X2,heat,2005-07-01 21:00:00,169.03901
N1,N1_to_X2,heat,2005-07-01 22:00:00,116.75699
N1,N1_to_X2,heat,2005-07-01 23:00:00,85.134121
N1,N1_to_X2,heat,2005-07-02 00:00:00,89.912253
N1,N1_to_X2,heat,2005-07-02 01:00:00,79.301394
N1,N1_to_X2,heat,2005-07-02 02:00:00,77.004849
N1,N1_to_X2,heat,2005-07-02 03:00:00,79.369632
N1,N1_to_X2,heat,2005-07-02 04:00:00,81.303212
N1,N1_to_X2,heat,2005-07-02 05:00:00,122.98933
N1,N1_to_X2,heat,2005-07-02 06:00:00,157.39583
N1,N1_to_X2,heat,2005-07-02 07:00:00,182.05536
N1,N1_to_X2,heat,2005-07-02 08:00:00,176.0334
N1,N1_to_X2,heat,2005-07-02 09:00:00,167.76867
N1,N1_to_X2,heat,2005-07-02 10:00:00,158.94678
N1,N1_to_X2,heat,2005-07-02 11:00:00,140.82067
N1,N1_to_X2,heat,2005-07-02 12:00:00,117.061
N1,N1_to_X2,heat,2005-07-02 13:00:00,116.68847
N1,N1_to_X2,heat,2005-07-02 14:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 15:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 16:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 17:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 18:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 19:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 20:00:00,190.24262
N1,N1_to_X2,heat,2005-07-02 21:00:00,162.10148
N1,N1_to_X2,heat,2005-07-02 22:00:00,116.80008
N1,N1_to_X2,heat,2005-07-02 23:00:00,91.917322
N1,N1_to_X3,heat,2005-07-01 00:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 01:00:00,0.93474975
N1,N1_to_X3,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 04:00:00,0.93484372
N1,N1_to_X3,heat,2005-07-01 05:00:00,8.0201658
N1,N1_to_X3,heat,2005-07-01 06:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 07:00:00,6.3929613
N1,N1_to_X3,heat,2005-07-01 08:00:00,3.6594328
N1,N1_to_X3,heat,2005-07-01 09:00:00,2.1154028
N1,N1_to_X3,heat,2005-07-01 10:00:00,2.3053316
N1,N1_to_X3,heat,2005-07-01 11:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 12:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 13:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 14:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 15:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 16:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 17:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 18:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 19:00:00,10.382599
N1,N1_to_X3,heat,2005-07-01 20:00:00,0.017262597
N1,N1_to_X3,heat,2005-07-01 21:00:00,0.93474906
N1,N1_to_X3,heat,2005-07-01 22:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 23:00:00,0.90636553
N1,N1_to_X3,heat,2005-07-02 00:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 01:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 02:00:00,0.93471573
N1,N1_to_X3,heat,2005-07-02 03:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 04:00:00,0.93482107
N1,N1_to_X3,heat,2005-07-02 05:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 06:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 07:00:00,0.93471443
N1,N1_to_X3,heat,2005-07-02 08:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 09:00:00,0.93471789
N1,N1_to_X3,heat,2005-07-02 10:00:00,0.017262597
N1,N1_to_X3,heat,2005-07-02 11:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 12:00:00,0.95210086
N1,N1_to_X3,heat,2005-07-02 13:00:00,0.95204524
N1,N1_to_X3,heat,2005-07-02 14:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 15:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 16:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 17:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 18:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 19:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 20:00:00,10.382599
N1,N1_to_X3,heat,2005-07-02 21:00:00,0.93472555
N1,N1_to_X3,heat,2005-07-02 22:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 23:00:00,0.93471415
N1,X1_to_N1,heat,2005-07-01 00:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 01:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 02:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 03:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 04:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 05:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 06:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 07:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 08:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 09:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 10:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 11:00:00,352.29576
N1,X1_to_N1,heat,2005-07-01 12:00:00,313.42093
N1,X1_to_N1,heat,2005-07-01 13:00:00,64.698924
N1,X1_to_N1,heat,2005-07-01 14:00:00,127.2011
N1,X1_to_N1,heat,2005-07-01 15:00:00,462.00871
N1,X1_to_N1,heat,2005-07-01 16:00:00,224.8262
N1,X1_to_N1,heat,2005-07-01 17:00:00,419.44093
N1,X1_to_N1,heat,2005-07-01 18:00:00,106.31348
N1,X1_to_N1,heat,2005-07-01 19:00:00,147.28923
N1,X1_to_N1,heat,2005-07-01 20:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 21:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 22:00:00,0.0
N1,X1_to_N1,heat,2005-07-01 23:00:00,0.0
N1,X1_to_N1,heat,2005-07-02 00:00:00,0.0
