nodes,techs,carriers,timesteps,flow_out
N1,N1_to_X2,heat,2005-07-01 00:00:00,52.099378
N1,N1_to_X2,heat,2005-07-01 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 11:00:00,57.565857
N1,N1_to_X2,heat,2005-07-01 12:00:00,61.232066
N1,N1_to_X2,heat,2005-07-01 13:00:00,61.386466
N1,N1_to_X2,heat,2005-07-01 14:00:00,56.956706
N1,N1_to_X2,heat,2005-07-01 15:00:00,86.260689
N1,N1_to_X2,heat,2005-07-01 16:00:00,64.505489
N1,N1_to_X2,heat,2005-07-01 17:00:00,43.335122
N1,N1_to_X2,heat,2005-07-01 18:00:00,7.2492959
N1,N1_to_X2,heat,2005-07-01 19:00:00,10.959065
N1,N1_to_X2,heat,2005-07-01 20:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 22:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 23:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 00:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 11:00:00,13.070194
N1,N1_to_X2,heat,2005-07-02 12:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 13:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 14:00:00,64.851528
N1,N1_to_X2,heat,2005-07-02 15:00:00,83.988031
N1,N1_to_X2,heat,2005-07-02 16:00:00,71.778286
N1,N1_to_X2,heat,2005-07-02 17:00:00,48.737683
N1,N1_to_X2,heat,2005-07-02 18:00:00,8.1448982
N1,N1_to_X2,heat,2005-07-02 19:00:00,13.096753
N1,N1_to_X2,heat,2005-07-02 20:00:00,7.6920607
N1,N1_to_X2,heat,2005-07-02 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 22:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 23:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 00:00:00,8.3685615
N1,N1_to_X3,heat,2005-07-01 01:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 04:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 05:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 06:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 07:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 08:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 09:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 10:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 11:00:00,7.1360059
N1,N1_to_X3,heat,2005-07-01 12:00:00,7.3221051
N1,N1_to_X3,heat,2005-07-01 13:00:00,7.1123549
N1,N1_to_X3,heat,2005-07-01 14:00:00,7.3243182
N1,N1_to_X3,heat,2005-07-01 15:00:00,7.2473083
N1,N1_to_X3,heat,2005-07-01 16:00:00,7.6794288
N1,N1_to_X3,heat,2005-07-01 17:00:00,7.6050996
N1,N1_to_X3,heat,2005-07-01 18:00:00,8.3685615
N1,N1_to_X3,heat,2005-07-01 19:00:00,7.6051107
N1,N1_to_X3,heat,2005-07-01 20:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 21:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 22:00:00,0.0
N1,N1_to_X3,heat,2005-07-01 23:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 00:00:00,8.3454012
N1,N1_to_X3,heat,2005-07-02 01:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 02:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 03:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 04:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 05:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 06:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 07:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 08:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 09:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 10:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 11:00:00,8.3685615
N1,N1_to_X3,heat,2005-07-02 12:00:00,0.0
N1,N1_to_X3,heat,2005-07-02 13:00:00,0.0
