nodes,techs,carriers,timesteps,flow_out_inc_eff
N1,N1_to_X2,heat,2005-07-01 00:00:00,56.21066086751294
N1,N1_to_X2,heat,2005-07-01 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 11:00:00,62.1085124159207
N1,N1_to_X2,heat,2005-07-01 12:00:00,66.06403047927309
N1,N1_to_X2,heat,2005-07-01 13:00:00,66.23061454171513
N1,N1_to_X2,heat,2005-07-01 14:00:00,61.451291896356985
N1,N1_to_X2,heat,2005-07-01 15:00:00,93.06772022454862
N1,N1_to_X2,heat,2005-07-01 16:00:00,69.59576688750653
N1,N1_to_X2,heat,2005-07-01 17:00:00,46.754797080193526
N1,N1_to_X2,heat,2005-07-01 18:00:00,7.821354668824491
N1,N1_to_X2,heat,2005-07-01 19:00:00,11.823870260793338
N1,N1_to_X2,heat,2005-07-01 20:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 22:00:00,0.0
N1,N1_to_X2,heat,2005-07-01 23:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 00:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 01:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 02:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 03:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 04:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 05:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 06:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 07:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 08:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 09:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 10:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 11:00:00,14.101593351202819
N1,N1_to_X2,heat,2005-07-02 12:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 13:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 14:00:00,69.96911262833156
N1,N1_to_X2,heat,2005-07-02 15:00:00,90.61572150575701
N1,N1_to_X2,heat,2005-07-02 16:00:00,77.4424771826902
N1,N1_to_X2,heat,2005-07-02 17:00:00,52.583686710834634
N1,N1_to_X2,heat,2005-07-02 18:00:00,8.787631025472445
N1,N1_to_X2,heat,2005-07-02 19:00:00,14.130248183549957
N1,N1_to_X2,heat,2005-07-02 20:00:00,8.299059067078002
N1,N1_to_X2,heat,2005-07-02 21:00:00,0.0
N1,N1_to_X2,heat,2005-07-02 22:00:00,0.0
