nodes,techs,timesteps,source_use
X1,pv,2005-07-01 00:00:00,0.0
X1,pv,2005-07-01 01:00:00,0.0
X1,pv,2005-07-01 02:00:00,0.0
X1,pv,2005-07-01 03:00:00,0.0
X1,pv,2005-07-01 04:00:00,0.0
X1,pv,2005-07-01 05:00:00,0.0
X1,pv,2005-07-01 06:00:00,0.0
X1,pv,2005-07-01 07:00:00,0.0
X1,pv,2005-07-01 08:00:00,0.0
X1,pv,2005-07-01 09:00:00,0.0
X1,pv,2005-07-01 10:00:00,0.0
X1,pv,2005-07-01 11:00:00,0.0
X1,pv,2005-07-01 12:00:00,0.0
X1,pv,2005-07-01 13:00:00,0.0
X1,pv,2005-07-01 14:00:00,0.0
X1,pv,2005-07-01 15:00:00,0.0
X1,pv,2005-07-01 16:00:00,0.0
X1,pv,2005-07-01 17:00:00,0.0
X1,pv,2005-07-01 18:00:00,0.0
X1,pv,2005-07-01 19:00:00,0.0
X1,pv,2005-07-01 20:00:00,0.0
X1,pv,2005-07-01 21:00:00,0.0
X1,pv,2005-07-01 22:00:00,0.0
X1,pv,2005-07-01 23:00:00,0.0
X1,pv,2005-07-02 00:00:00,0.0
X1,pv,2005-07-02 01:00:00,0.0
X1,pv,2005-07-02 02:00:00,0.0
X1,pv,2005-07-02 03:00:00,0.0
X1,pv,2005-07-02 04:00:00,0.0
X1,pv,2005-07-02 05:00:00,0.0
X1,pv,2005-07-02 06:00:00,0.0
X1,pv,2005-07-02 07:00:00,0.0
X1,pv,2005-07-02 08:00:00,0.0
X1,pv,2005-07-02 09:00:00,0.0
X1,pv,2005-07-02 10:00:00,0.0
X1,pv,2005-07-02 11:00:00,0.0
X1,pv,2005-07-02 12:00:00,0.0
X1,pv,2005-07-02 13:00:00,0.0
X1,pv,2005-07-02 14:00:00,0.0
X1,pv,2005-07-02 15:00:00,0.0
X1,pv,2005-07-02 16:00:00,0.0
X1,pv,2005-07-02 17:00:00,0.0
X1,pv,2005-07-02 18:00:00,0.0
X1,pv,2005-07-02 19:00:00,0.0
X1,pv,2005-07-02 20:00:00,0.0
X1,pv,2005-07-02 21:00:00,0.0
X1,pv,2005-07-02 22:00:00,0.0
X1,pv,2005-07-02 23:00:00,0.0
X1,supply_gas,2005-07-01 00:00:00,286.60914
X1,supply_gas,2005-07-01 01:00:00,242.17993
X1,supply_gas,2005-07-01 02:00:00,243.44693
X1,supply_gas,2005-07-01 03:00:00,243.44866
X1,supply_gas,2005-07-01 04:00:00,256.80446
X1,supply_gas,2005-07-01 05:00:00,445.86764
X1,supply_gas,2005-07-01 06:00:00,546.36434
X1,supply_gas,2005-07-01 07:00:00,644.31283
X1,supply_gas,2005-07-01 08:00:00,644.31283
X1,supply_gas,2005-07-01 09:00:00,644.31283
X1,supply_gas,2005-07-01 10:00:00,542.34884
X1,supply_gas,2005-07-01 11:00:00,540.19204
X1,supply_gas,2005-07-01 12:00:00,517.76237
X1,supply_gas,2005-07-01 13:00:00,457.24151
X1,supply_gas,2005-07-01 14:00:00,486.52183
X1,supply_gas,2005-07-01 15:00:00,565.04537
