techs,carriers,systemwide_capacity_factor
N1_to_X2,electricity,0.0
N1_to_X2,gas,0.0
N1_to_X2,heat,0.4214595009541851
N1_to_X3,electricity,0.0
N1_to_X3,gas,0.0
N1_to_X3,heat,0.39230343097177944
X1_to_N1,electricity,0.0
X1_to_N1,gas,0.0
X1_to_N1,heat,0.21178661923805978
X1_to_X2,electricity,0.3171334944466848
X1_to_X2,gas,0.0
X1_to_X2,heat,0.0
X1_to_X3,electricity,0.19753726406470953
X1_to_X3,gas,0.0
X1_to_X3,heat,0.0
boiler,electricity,0.0
boiler,gas,0.0
boiler,heat,0.15375983040731225
chp,electricity,0.7356298893286125
chp,gas,0.0
chp,heat,0.7356298911848345
demand_electricity,electricity,0.0
demand_electricity,gas,0.0
demand_electricity,heat,0.0
demand_heat,electricity,0.0
demand_heat,gas,0.0
demand_heat,heat,0.0
pv,electricity,0.20185729088757826
pv,gas,0.0
pv,heat,0.0
supply_gas,electricity,0.0
supply_gas,gas,0.5840977669093451
supply_gas,heat,0.0
supply_grid_power,electricity,0.07873734702141545
supply_grid_power,gas,0.0
supply_grid_power,heat,0.0
